date,value
1961-01-31,54.08
1961-02-28,54.08
1961-03-31,54.123
1961-04-30,54.108
1961-05-31,53.843
1961-06-30,53.652
1961-07-31,53.847
1961-08-31,53.847
1961-09-30,53.789
1961-10-31,53.789
1961-11-30,53.664
1961-12-31,53.347
1962-01-31,54.08
1962-02-28,53.704
1962-03-31,53.589
1962-04-30,53.704
1962-05-31,53.704
1962-06-30,53.704
1962-07-31,53.632
1962-08-31,53.614
1962-09-30,53.351
1962-10-31,53.351
1962-11-30,53.351
1962-12-31,53.291
1963-01-31,53.307
1963-02-28,53.422
1963-03-31,53.236
1963-04-30,53.236
1963-05-31,53.307
1963-06-30,53.307
1963-07-31,53.307
1963-08-31,53.493
1963-09-30,53.688
1963-10-31,53.493
1963-11-30,53.493
1963-12-31,53.688
1964-01-31,53.729
1964-02-29,53.614
1964-03-31,53.614
1964-04-30,53.635
1964-05-31,53.693
1964-06-30,53.635
1964-07-31,53.751
1964-08-31,53.693
1964-09-30,53.751
1964-10-31,53.751
1964-11-30,53.878
1964-12-31,53.927
1965-01-31,54.236
1965-02-28,54.236
1965-03-31,54.017
1965-04-30,54.075
1965-05-31,53.966
1965-06-30,53.908
1965-07-31,53.702
1965-08-31,53.458
1965-09-30,53.506
1965-10-31,55.317
1965-11-30,56.103
1965-12-31,56.16
1966-01-31,55.429
1966-02-28,55.445
1966-03-31,55.467
1966-04-30,55.445
1966-05-31,55.503
1966-06-30,55.243
1966-07-31,55.156
1966-08-31,55.156
1966-09-30,55.156
1966-10-31,55.209
1966-11-30,55.209
1966-12-31,55.357
1967-01-31,55.416
1967-02-28,55.531
1967-03-31,55.473
1967-04-30,55.473
1967-05-31,55.473
1967-06-30,55.473
1967-07-31,55.473
1967-08-31,55.636
1967-09-30,55.254
1967-10-31,55.279
1967-11-30,55.306
1967-12-31,55.306
1968-01-31,55.785
1968-02-29,55.677
1968-03-31,55.66
1968-04-30,55.66
1968-05-31,55.66
1968-06-30,55.531
1968-07-31,55.544
1968-08-31,55.544
1968-09-30,55.631
1968-10-31,55.939
1968-11-30,56.03
1968-12-31,56.185
1969-01-31,56.535
1969-02-28,56.699
1969-03-31,56.65
1969-04-30,56.911
1969-05-31,56.938
1969-06-30,56.637
1969-07-31,57.037
1969-08-31,56.749
1969-09-30,57.18
1969-10-31,57.053
1969-11-30,57.041
1969-12-31,57.716
1970-01-31,57.195
1970-02-28,57.052
1970-03-31,57.052
1970-04-30,57.096
1970-05-31,57.096
1970-06-30,57.096
1970-07-31,57.096
1970-08-31,57.113
1970-09-30,57.239
1970-10-31,57.239
1970-11-30,57.527
1970-12-31,57.867
1971-01-31,57.673
1971-02-28,57.532
1971-03-31,58.51
1971-04-30,58.831
1971-05-31,58.315
1971-06-30,58.934
1971-07-31,59.131
1971-08-31,59.001
1971-09-30,59.151
1971-10-31,59.383
1971-11-30,59.294
1971-12-31,59.536
1972-01-31,59.598
1972-02-29,59.767
1972-03-31,59.581
1972-04-30,59.574
1972-05-31,59.697
1972-06-30,59.697
1972-07-31,59.677
1972-08-31,59.685
1972-09-30,59.871
1972-10-31,60.157
1972-11-30,60.415
1972-12-31,60.471
1973-01-31,61.374
1973-02-28,62.126
1973-03-31,65.005
1973-04-30,68.067
1973-05-31,69.59
1973-06-30,70.267
1973-07-31,70.906
1973-08-31,72.793
1973-09-30,73.138
1973-10-31,73.723
1973-11-30,74.449
1973-12-31,75.271
1974-01-31,75.513
1974-02-28,75.801
1974-03-31,76.728
1974-04-30,76.81
1974-05-31,76.81
1974-06-30,76.83
1974-07-31,76.923
1974-08-31,77.004
1974-09-30,77.118
1974-10-31,77.178
1974-11-30,77.339
1974-12-31,77.284
1975-01-31,76.917
1975-02-28,76.503
1975-03-31,75.964
1975-04-30,75.817
1975-05-31,75.463
1975-06-30,75.302
1975-07-31,75.231
1975-08-31,74.864
1975-09-30,75.045
1975-10-31,75.519
1975-11-30,76.062
1975-12-31,76.524
1976-01-31,76.62
1976-02-29,75.923
1976-03-31,76.12
1976-04-30,75.94
1976-05-31,76.038
1976-06-30,76.281
1976-07-31,76.355
1976-08-31,76.279
1976-09-30,76.279
1976-10-31,76.314
1976-11-30,76.392
1976-12-31,76.917
1977-01-31,77.415
1977-02-28,77.508
1977-03-31,77.109
1977-04-30,77.206
1977-05-31,77.115
1977-06-30,77.066
1977-07-31,77.238
1977-08-31,77.456
1977-09-30,77.552
1977-10-31,77.552
1977-11-30,77.744
1977-12-31,78.05
1978-01-31,78.8
1978-02-28,78.582
1978-03-31,78.444
1978-04-30,78.023
1978-05-31,78.097
1978-06-30,78.482
1978-07-31,79.031
1978-08-31,79.344
1978-09-30,79.411
1978-10-31,79.144
1978-11-30,79.116
1978-12-31,80.155
1979-01-31,80.964
1979-02-28,80.819
1979-03-31,81.081
1979-04-30,80.275
1979-05-31,80.635
1979-06-30,80.858
1979-07-31,82.35
1979-08-31,82.6
1979-09-30,82.898
